hash,string,length,frequency,field_count
51e8c433aae796cf4f1f7116fe5d1e08,Moncrieff,9,2,2
1574ce5a6c94340e352d31b4b6399da3,"Newman, John H.",15,2,2
db5325b9bac4d56f7c70f8e790c2f3f2,Bilü 碧侣,8,2,2
ebdbacdd305572b7d047d2e22360230b,"Brown, Lewis",12,2,2
6b77968e547eed411d48cbb25110b7a5,"Stadler, Joseph Constantine, active 1780-1812",45,2,2
caaf72a335e32aaf0582864770461f4d,"Sima, Qian, approximately 145 B.C.-approximately 86 B.C. 司马遷, a. 145-ca. 86 B.C.",80,2,2
5338b4d30d2a43d7345fc49d962e02f6,"Proctor, Richard A.",19,2,2
da1f1b32005c06e4b7f9eee2b56708c8,"Mellon, Paul, 1907-1999",23,2,2
e53cffd269aae0e85713ed9e622f962,"Mellon, Paul. 1907-1999.",24,2,2
ff75b0f119b5ea0736b6e789f7cb2a81,"Wu, Han, 1909-1969 吴晗, 1909-1969",32,2,2
c86391fbd53518947ee0799c7539c4bb,"Price, Ric",10,2,2
762ee578d294fa3146cbdac4092ed108,"Palmquist, Peter E.",19,2,2
baa768f96b7d007b1ff7b664a1d86840,"Thomas, Isaiah",14,2,2
71e4058bbe5777885d3a247c3af9e739,"Newman, John Henry",18,2,1
c67e81eb59e05a2b4dac3593f1ff0d38,"Sima, Qian, approximately 145 B.C.-approximately 86 B.C. 司马迁， approximately 145 B.C.-approximately 86 B.C.",106,2,2
6726576203a98eb0d9960cbe2f227942,"Roberts, Jean",13,2,2
3f842fde5440bdf4c8aac6b3ad913e80,"Tillotson, John",15,2,2
b73b53fe91e11d337fc0750dd5c175c0,"White, Edmund",13,2,2
4b6581627b6e891e7d3bfd1b1eda8eb,"Stanley, Thomas",15,2,2
ae0c8baef05d4d697d0b5ff10715e450,"Hoadly, Benjamin",16,2,2
5337e4738127eeb998a55b03c159680a,Faulkner William,16,1,1
3caf980dfa79c2183d23f893e97cda89,"West, Benjamin, 1738-1820",25,1,1
5023bb198fdf64e11a4bdf1137e3157f,"Zhu, Xi 朱溪",10,1,1
4a4b191ec8258842acf381bc27292d11,"West, Benjamin, Jr",18,1,1
a1529a7fc54be5c2fcd3f8aa931d9ee0,"Owen, Robert Dale, 1801-1877",28,1,1
a17b0fb5fba93c7b9a923e5d0062937f,"Browning, Elizabeth Barrett",27,1,1
272df8d87311e81d3699be4955f60fda,"Baum, L. Frank (Lyman Frank)",28,1,1
84e41490fcdf74b0986d77b3a5b6cd56,"Laud, William, 1573-164",23,1,1
2d50408d3ab368e43055a9cf2e877d0c,"Baum, L. Frank",14,1,1
e0cb732a15c80dcaddce23fb5be1a3f,"Robinson, Henry, 1605?-1664?.",29,1,1
fdad1d7fd0e65564d1fb5c9527a92a15,"Joyce, James, 1882-",19,1,1
60798ca94f41ef2e28691e5370a800fb,"White, Edmund, 1940",19,1,1
fd255e999faa522eb1ffee8be5e2473b,"Wesley, John",12,1,1
4693cbfb73ad57ecca0f25b82441ca6d,"Ward, Edward",12,1,1
b25253944b9073e2a5d2ef068976bb41,"Wu, Han, 1909- Wu, Han, 1909-",29,1,1
17a739975b2b0c476aecc14f6114c3d,"Sima, Qian, approximately 145 B.C.-approximately 86 B.C. 司马迁, ca. 145-ca. 86 B.C.",81,1,1
7932a005d7fac410bea6c79da24e7cfc,"Mauriac, François, 1885-",25,1,1
da9f46bded910661da77525a11e1482f,"Zhu, Xi, 1130-1200 朱熹， 1130-1200",32,1,1
60428f0bfbb327fba8ace66690079fcc,"Joyce, James, 1882-1941, Criticism and interpretation",53,1,1
