threshold,fpr,tpr,precision,recall
0.35682298227443465,0.0,0.16575804776739356,0.49899604896690203,1.0
0.3568741090808075,0.0,0.1660176531671859,0.499028371550719,1.0
0.356877763555524,0.0,0.1770508826583593,0.4990606983222129,1.0
0.356958549617264,0.0,0.17744029075804776,0.49909302928219745,1.0
0.35708259496980604,0.0,0.1838006230529595,0.49912536443148686,1.0
0.35733225335164587,0.0,0.18406022845275183,0.4991577037708954,1.0
0.3575225537836125,0.0,0.18509865005192108,0.4991900473012376,1.0
0.35780253427749836,0.0,0.1853582554517134,0.49922239502332816,1.0
0.35796875926109495,0.0,0.19003115264797507,0.499254746937982,1.0
0.3584700025221106,0.0,0.1902907580477674,0.49928710304601426,1.0
0.3585402609887477,0.0,0.1963914849428868,0.49931946334824034,1.0
