hash,string,length,frequency,field_count
6e7242b877278b737c5fcc8e92df8305,"Beijing: Zhonghua shu ju, Xin hua shu dian Beijing fa xing suo fa xing, 1981 北京: 中華書局, 新華書店北京发行所发行, 1981 Di 1 ban 第1版",117,3,3
8633bae1e1035594a8cd9b2cd2c80eb4,"New York: C.F. Peters, c1990",28,3,3
4a8d676936957418154f9616cad569c1,London: 1635 3d ed.,19,3,3
961579421b74b1e46bdd5af2a26d5ed2,"[Beijing]; [北京]: [Beijing zhong xian tuo fang ke ji fa zhan you xian gong si], [北京中献拓方科技发展有限公司], [2007], [2007]",111,3,3
2a6cdf443dd98a64b4d63aa9f46aa12,"New York, NY: Mode, p1999",25,3,3
6aae4c67d79a07603b9fe87a51f6c88,"[S.l.]: Breitkopf and Härtel, 1897",35,3,3
41c42696ae3e0129774410a45fbd9a63,"[Place of publication not identified]: Euroarts, 1989",53,3,3
88e2baa0b082f7554cffcfacd88cb788,"England: Decca, 2007, p1976",27,3,3
440dbd7ea64938fc1deaa9a888857729,"[Place of publication not identified]: Bel Air Media, 2020",58,3,3
d99ac5de8311f8ca06a01022e34e4ce0,"[Place of publication not identified]: Colyndra, C major Entertainment GmbH, 2019",81,3,3
f061c349e71c328eacc09ca0d8264b2,"[Place of publication not identified]: RTBF, 2016",49,3,3
c513a8136c804d47ae5634b009b3c126,"Paris: Mazarine, c1984",22,3,3
14db1640a1be4fa7354ff9eac4a46276,"Leipzig: J.A. Barth, 1982",25,3,3
119c76ea7c0ab7973fa4b6b170ff7c82,"Rio de Janeiro: Sette Letras, 1996",34,3,3
607c3cc3dc8fdb56933def98409faa63,"Marlborough, Wiltshire: Adam Matthew Digital, 2012",50,3,3
8085141703ca8d211764e768db3d6d5,"[Nanjing]: Jinling shu ju, Dongzhi 5-9 [1866-1870] [Nanjing]: 金陵書局, 同治5-9 [1866-1870]",85,3,3
9eca59d503383fbdcd09f344f5195a15,"Londres: [Burrup, Mathieson & Co., Ltd.], [1944]",48,3,3
340fa97983d2422c1c9eb4db1a4fd898,London: Printed in the year 1704,32,3,3
1518fa1f1aee4be34eba0af5eccc695e,"Washington, DC: 1924",20,3,3
ffeefcd5efa93d0984d2dcce9fcee29,"New York: Henry Holt and Company, c1921 (1931 printing)",55,3,3
53ef31ab81fb5336cf913d08d0bfa9e0,"New York: Garland Pub, 1987",27,3,3
3585ca68823452640508223e9147edd4,London,6,3,1
47e6930af1976ce233e2a41f18cb8781,"Norfolk, Conn: J. Laughlin, c1964",33,3,3
e40f5a69a659d1f105d8faf97e5cde2f,"London: Phaidon Press Limited, 1972 New York: Distributed by Praeger Publishers",79,3,3
83af20950dd08bf6a2ac5af5e384eb39,"Athens: University of Georgia Press, c1985",42,3,3
a7b695d4ac35f1b5a1392c154c5f549c,"Washington, DC: 1937",20,3,3
4667f0170758b88b4cb186864450a577,"London: Printed by George Miller, 1635 3d ed.",45,3,3
6b0a30999c3bc4bc705da3462e619f00,"Washington, DC: 1910",20,3,3
c829ed3e5b0aabcb28c0581e4c262b86,"Washington, DC: 1938",20,3,3
e5dbbaef034a2357b50952129f7ef347,"New York: E.P. Dutton, 1930 [1st (American) ed.]",48,3,3
872446eaf62bd3b1322ca4e1d0040199,"New York: Greenwood Press, 1987",31,3,3
c4166cfcc76c809014ef7dda262e4b5,"[Nashville, Tenn.]: Quarterly Review, c1984",43,3,3
9816842d26e9abd1d8f014bef63f3a82,"Ithaca, N. Y.: Cornell University Press, [1961]",47,3,3
49f50b17c2b70b5998c0bfb1f827623c,"Washington, DC: 1974",20,3,3
9aca681750372144cf3a6e7832fa5388,"Reina del Plata, Rep. Argentina: Eloisa Cartonera, 2003 1. ed.",62,2,2
4a302edd4dd131f706544eacdd1eb055,"Washington, DC: 1934",20,2,2
597a868cf65b030642eeb06a737dd01f,"New York: Henry Holt and Company, 1915",38,2,2
77afae4275064845665826fcc4d72235,"Boston: Printed by Manning & Loring, 1798",41,2,2
72d7d87cbb4766171a73a7afe26e3eec,"London: Printed for William Keblewhite ..., 1697",48,2,2
c6c4b75998462efdb6b4d92c91be746d,"Goetheanum Dornach, Schweiz: Philosophisch-Anthroposophischer Verlag, c1978",75,2,2
784e5eee32158bbb807de31ab2ef8cc,"Leipzig: Breitkopf and Härtel, 1897",36,2,2
70a1c997b4f4dc7f99310c18b5afcc33,"[Place of publication not identified]: EuroArts Music International, 2018",73,2,2
f2c38ff729bc0011fc6ef40336e7ba27,"Roma: Tilopa edizioni, 1994 1. ed.",34,2,2
28d9f457c452bb85ed4c2eb564d6d48,"Washington, DC: 1942",20,2,2
110b2c8f4d41be05873c37b2e3612c81,"[Vienna]: Lebendige Vergangenheit, p1993",40,2,2
13042e1234284e68d1dc9c4c7ea14d8b,"London: Picador, 1995",21,2,2
30975676a1b1ed2ab94b2cd838cf1454,"Baden: Verlag Merker im Effingerhof, c1997",42,2,2
