entity1,entity2,confidence,threshold,margin
10092619#Agent700-34,16044366#Agent700-32,0.7003603652489013,0.7,0.0003603652489013731
1771162#Agent100-11,9498724#Agent100-11,0.7003756197908786,0.7,0.00037561979087863406
15448684#Agent100-11,1771162#Agent100-11,0.7003930531345434,0.7,0.0003930531345434085
10092619#Agent700-32,6255540#Agent600-22,0.7004172069205444,0.7,0.0004172069205444773
9501350#Agent700-22,9877781#Agent600-31,0.7004202210932475,0.7,0.00042022109324757473
9501350#Agent700-25,9877781#Agent600-31,0.7004202210932475,0.7,0.00042022109324757473
16044362#Agent700-32,7732682#Agent700-29,0.7004253692795072,0.7,0.00042536927950720393
12328111#Agent700-43,16043945#Agent700-50,0.7004324281116769,0.7,0.0004324281116769857
10833844#Agent600-20,15831263#Agent100-9,0.7004382954837806,0.7,0.0004382954837806041
12328111#Agent700-42,16043945#Agent700-50,0.700439015593045,0.7,0.00043901559304504456
10098#Agent600-19,7052618#Agent600-20,0.7004412529742063,0.7,0.0004412529742063853
10098#Agent600-18,7052618#Agent600-20,0.7004412529742063,0.7,0.0004412529742063853
11774403#Agent700-30,16044141#Agent700-31,0.700452995306955,0.7,0.00045299530695508405
13933294#Agent700-39,9792627#Agent600-33,0.700491099244908,0.7,0.0004910992449080887
12328111#Hub240-18-Agent,16043945#Agent700-50,0.7004929488895842,0.7,0.0004929488895842882
10474774#Agent700-32,6255540#Agent600-22,0.7004935855960359,0.7,0.0004935855960359614
13933225#Agent100-10,9525838#Agent100-11,0.7004939430621597,0.7,0.000493943062159774
1099434#Hub240-18-Agent,6269430#Agent100-15,0.7004972946345691,0.7,0.0004972946345691565
14910820#Agent100-10,4293769#Agent600-19,0.700539560703993,0.7,0.0005395607039930805
14910821#Agent100-10,4293769#Agent600-19,0.700539560703993,0.7,0.0005395607039930805
1338546#Agent692-20,14084806#Agent600-24,0.7005439617740591,0.7,0.0005439617740591318
1338546#Agent692-21,14084806#Agent600-24,0.7005439617740591,0.7,0.0005439617740591318
15805682-a9f955fe-4c95-4682-b827-e8c86991853c#http://id.loc.gov/rwo/agents/n80038441,9351602#Agent100-10,0.7005442201696063,0.7,0.0005442201696063131
4073271#Agent700-24,956308#Agent100-17,0.7005447816450393,0.7,0.0005447816450393494
15412561#Agent100-11,15460269#Agent700-27,0.7005511314862753,0.7,0.0005511314862753913
1428277#Agent700-24,15412561#Agent100-11,0.7005511314862753,0.7,0.0005511314862753913
15842144#Agent700-28,5610980#Agent700-23,0.7005530173944947,0.7,0.0005530173944947592
13933228#Agent100-10,5542204#Agent100-11,0.7005632619818043,0.7,0.0005632619818043416
13932529#Agent100-10,9792627#Agent600-33,0.700591956183535,0.7,0.0005919561835350251
1099434#Agent100-17,6269430#Agent100-15,0.7006342078730358,0.7,0.0006342078730358081
10555832#Agent700-26,16044277#Agent700-33,0.7006399044366128,0.7,0.0006399044366128814
15907913#Agent600-33,6258296#Agent600-22,0.7006437686245757,0.7,0.0006437686245757135
10973197#Agent600-19,1180165#Agent600-21,0.7006494120782,0.7,0.0006494120782000179
117097#Agent600-20,13933223#Agent100-10,0.7006537569427597,0.7,0.000653756942759709
11317446#Agent700-35,16044091#Agent700-32,0.7006749498453789,0.7,0.0006749498453789693
10659922#Agent600-19,11125649#Agent700-26,0.7006809982039068,0.7,0.0006809982039068796
13932577#Agent700-33,8034847#Agent600-32,0.7006838287714865,0.7,0.0006838287714865388
10092619#Agent700-37,6255540#Agent600-22,0.7007174883467562,0.7,0.0007174883467562232
2953515#Agent100-13,6063389#Agent100-13,0.7007280411623549,0.7,0.0007280411623549199
10092619#Agent700-35,6255540#Agent600-22,0.7007767321461503,0.7,0.0007767321461503718
10092619#Agent700-32,16044214#Agent700-41,0.7008066418483236,0.7,0.0008066418483236859
10092619#Agent100-12,16044214#Agent700-41,0.7008100183663656,0.7,0.000810018366365628
14910702#Agent100-10,8601882#Agent100-13,0.700810383247077,0.7,0.0008103832470770511
