hash,string,length,frequency,field_count
e17fbf5167e7f5d64f3a7c797d051faa,"Sima, Qian, approximately 145 B.C.-approximately 86 B.C. Shi ji; 司馬遷, approximately 145-approximately 86 B.C. 史記; Shi ji (Sima, Qian); China--History--To 221 B.C; China--History--Qin dynasty, 221-207 B.C; China--History--Han dynasty, 202 B.C.-220 A.D; China; To 220",265,3,3
152878dd16e12b7ff4aff12cc9193504,"Lucan, 39-65--Technique; Rome--History--Civil War, 49-45 B.C.--Literature and the war; Epic poetry, Latin--History and criticism; Lucan, 39-65. Pharsalia; Rhetoric, Ancient",172,3,3
93ec9e43026f26fa7555241fa690254c,"Tennyson, Alfred Tennyson, Baron, 1809-1892--Musical settings; Uhland, Ludwig, 1787-1862--Musical settings; Monologues with music (Piano)",137,3,3
b67cbdc888106493de7ed39a13955ed2,"Church of England--Sermons; Sermons, English--17th century",58,3,3
89553b29123b972f6010eee36529939a,"Lucan, 39-65. Pharsalia. Liber 4; Rome--History--Civil War, 49-45 B.C.--Poetry",78,3,3
5cf0a5acabf01e949ec110ae73df68c6,"Hai, Rui, 1514-1587--Drama; 海瑞, 1514-1587--Drama",48,3,3
1045626757398411f395dbe9793704b2,"Rowe, Nicholas, 1674-1718--Criticism and interpretation",55,3,3
6960abdbc741223d4c05f4433118ad7f,"Faulkner, William, 1897-1962--Criticism and interpretation; Faulkner, William, 1897-1962--Influence; Faulkner, William, 1897-1962--Appreciation--Japan",150,3,3
f58e76f0e3d6ca31a7b34787d95a38da,"Faulkner, William, 1897-1962--Manuscripts--Facsimiles",53,3,3
c339682703db4a8bc0dcdf24b30433a4,Dance orchestra music; Foxtrots; Musicals--Excerpts,51,3,3
1ff9246eeff735954594ecc69dc428f7,"Clarinet with band--Scores; Bassett, Leslie, 1923-2016--Manuscripts--Facsimiles; Music--Manuscripts--Facsimiles",111,3,3
49ee4a50e72c14d5cd3779de32dc7278,"Frost, Robert, 1874-1963--Autograph; Frost, Robert, 1874-1963--Presentation inscription to E. Henry; Henry, Elbert H.--Presentation inscription from R. Frost",157,3,3
82ac626cdde85d4e3445301b9bf5b9f3,Science,7,3,3
2d05773328c67d7f520e3759ea9b78ed,"Mellon, Paul--Art collections; Mellon, Paul--Criticism and interpretation",73,3,3
ea947abe2db840ae9afb24e32fce79f7,Dance orchestra music; Foxtrots,31,3,3
c458a3af37fb062718d611026972ecb9,"Joyce, James, 1882-1941--Bibliography; Joyce, James, 1882-1941--Manuscripts--Catalogs",85,3,3
739bb735319390a48d80e2cbda8564bd,"Cook, Henrietta Barrett, d. 1860.; Browning, Elizabeth Barrett, 1806-1861--Correspondence",89,3,3
e6c14202225be2725a3cb3a8057f02d8,"China--History--To 1766 B.C; China--History--1766 B.C.-226 A.D; Sima, Qian, approximately 145 B.C.-approximately 86 B.C. Shi ji--Indexes; 司馬遷, approximately 145 B.C.-approximately 86 B.C. 史記--Indexes",199,3,3
7d6e9e334d2f9a0a23fecf9f78aac344,"World War, 1939-1945--France",28,3,3
2bc6794ad926760f3598abe7f55d102b,"Bassett, Leslie, 1923-2016--Manuscripts--Facsimiles; Clarinet and piano music--Scores and parts; Music--Manuscripts--Facsimiles",127,3,3
9d5fa7aefc923233ff444f957fc53156,"Hogarth, William, 1697-1764--Exhibitions; Hogarth, William, 1697-1764--Criticism and interpretation; Hogarth, William, 1697-1764--Influence; Art, European--18th century--Exhibitions; Art, European; Influence (Literary, artistic, etc.); 1700-1799",245,3,3
c0a6ab2cec1fcd25ec0d1bafab07c02c,"Spencer, Herbert, 1820-1903--Contributions in political science; Spencer, Herbert, 1820-1903--Criticism and interpretation; Social evolution",140,3,3
fd608beba7df493fcd58498333b1f5a3,Methodist Episcopal Church--Liturgy--Texts; Methodist Church--Liturgy--Texts,76,3,3
63d34422cc287ae17a74bfa5d9a42d48,"Campos, Haroldo de. Finismundo",30,3,3
c46fa124f52b910583d31cabecfe2fea,"Literature, Modern--20th century; Annotations (Provenance)--20th century; Herbst, Josephine, 1892-1969--Presentation inscription from J. Laughlin; Laughlin, James, 1914-1997--Presentation inscription to J. Herbst; Laughlin, James, 1914-1997--Presentation inscription to R. Stephan; Stephan, Ruth, 1910-1974--Presentation inscription from J. Laughlin; Williams, Tennessee, 1911-1983--Autograph; Dodd, Jonathan--Ownership",419,3,3
c73551a2bab5e2fb04429e9851014867,"Zhu, Xi, 1130-1200. Jin si lu; 朱熹, 1130-1200. 近思錄",49,3,3
9ebe21573d855805d074a408448388f8,"Great Britain--History--Charles I, 1625-1649",44,3,3
f642f8702cc386c9f4dd1c2cf92e70f,"Cooper, James Fenimore, 1789-1851. Last of the Mohicans; United States--History--French and Indian War, 1755-1763--Literature and the war; Cooper, James Fenimore, 1789-1851--Appreciation--United States; Cooper, James Fenimore, 1789-1851--Film and video adaptations; Historical fiction, American--History and criticism; Literature and society--United States--History; Popular culture--United States--History; Mohegan Indians in literature; Social values in literature; Myth in literature; Canon (Literature)",506,3,3
6d7dbe8020003c107a376a43975d927a,"Butler, Charlotte; Claims; Disabled veterans; Military pensions; War of 1812 (1812-1815)",88,2,2
4801c7282bcc6aed9a95a81cf32231dc,"Lucan, 39-65. Pharsalia; Lucan, 39-65--Characters; Characters and characteristics in literature; Rome--History--Civil War, 49-45 B.C.--Literature and the war; Civil war in literature; Latin language--Figures of speech; Speech in literature",239,2,2
d9dd6d39571250f9c5567aba02cbcdda,Almanacs--Massachusetts--1792; Booksellers' advertisements--Massachusetts--Boston,81,2,2
188e3655fb54b528ce1559b4438db4cd,"George V, King of Great Britain, 1865-1936; Buchan, John, 1875-1940--Autograph; World War, 1914-1918--Great Britain; Great Britain--History--George V, 1910-1936",160,2,2
1dc281e8a905e8de2b58d4a986c5444c,"Catholic Church--Apologetic works; Catholic Church; Newman, John Henry",70,2,2
4c6b385b06e9c2a19bee83e1d2c93fa4,"Garman, Isaac; Civilian employees of the military; Claims; Legislative amendments; Military pensions; Scouts and guides (Military); Spies; United States. Civil War (1861-1865)",175,2,2
