hash,string,length,frequency,field_count
299d2aa4ae108d8158c7fa56d401c0d0,"Author: Hogarth, William
Title: Engraving by Hogarth, with peepshow in foreground
Subjects: peep show, optical entertainment
Provision information: Marlborough, Wiltshire: Adam Matthew Digital, 2012",198,2,2
c4d5fb2d680fbf2d52333af068c6f669,"Subject: Newman, John Henry, 1801-1890
Title: Sorgfalt des Denkens: Wege des Glaubens im Spiegel von Bildung und Wissenschaft : ein Gespräch mit John Henry Newman
Attribution: Roman A. Siebenrock, Wilhelm Tolksdorf (Hrsg.)
Subjects: Newman, John Henry, 1801-1890--Bibliography; Catholic Church--Doctrines--History--19th century; Cardinals--England
Provision information: Frankfurt am Main; New York: Peter Lang, 2006",417,2,2
8521ba29d7ed9d6e5254c55aee69a4b7,"Associated person: Frost, Robert, 1874-1963
Title: Mountain interval
Attribution: by Robert Frost
Subjects: Frost, Robert, 1874-1963--Autograph; Frost, Robert, 1874-1963--Presentation inscription to E. Henry; Henry, Elbert H.--Presentation inscription from R. Frost
Provision information: New York: Henry Holt and Company, c1921 (1931 printing)",344,2,2
bd1af3cf40d68918df785c5b57c40781,"Contributor: Proctor, Richard A. (Richard Anthony), 1837-1888
Title: Leisure readings
Attribution: By Edward Clodd, Andrew Wilson, Thomas Foster, A.C. Ranyard, and Richard A. Proctor
Subjects: Essays, English
Provision information: London: Wyman & Sons, [1883]",260,2,2
54e06e8ff62af065461666b81e50895e,"Subject: Browning, Elizabeth Barrett, 1806-1861
Title: Elizabeth Barrett and Robert Browning: a creative partnership
Attribution: Mary Sanders Pollock
Subjects: Browning, Elizabeth Barrett, 1806-1861--Criticism and interpretation; Browning, Robert, 1812-1889--Criticism and interpretation; Authorship--Collaboration--History--19th century; Browning, Elizabeth Barrett, 1806-1861--Marriage; Browning, Robert, 1812-1889--Marriage; Married people--Great Britain--Biography; Poets, English--19th century--Biography
Provision information: Aldershot, Hants, England; Burlington, VT: Ashgate, c2003",591,2,2
5a59885fa7afae4fe4b272b82d2b2bfc,"Subject: Sima, Qian, approximately 145 B.C.-approximately 86 B.C.司马迁, approximately 145 B.C.-approximately 86 B.C.
Title: Tai shi gong zi xu zhu yi; 太史公自序注译
Attribution: Wang Hanmin王汉民
Subjects: Historians--China--Biography; Sima, Qian, approximately 145 B.C.-approximately 86 B.C. Shi ji; 司马迁, approximately 145 B.C.-approximately 86 B.C. 史记．
Genres: Biographies
Provision information: Xining: Qinghai ren min chu ban she, Qinghai sheng xin hua shu dian fa xing, 1988; 西宁: 青海人民出版社　, 青海省新華書店发行, 1988; Di 1 ban; 第1版．",515,2,2
ba8da0012f99aef06c052b40b69d8a27,"Subject: Faulkner, William, 1897-1962
Title: Faulkner and film
Attribution: [compiled by] Peter Lurie and Ann J. Abadie
Subjects: Faulkner, William, 1897-1962--Television adaptations--Congresses; Faulkner, William, 1897-1962--Film adaptations--Congresses; American fiction--Film adaptations--Congresses; American fiction--20th century--History and criticism--Congresses; Modernism (Literature)--United States--Congresses; Motion pictures and literature--Congresses
Provision information: Jackson: University Press of Mississippi, 2014; Baltimore, Md: Project MUSE, 2014",569,2,2
e9927bcc742ad12ddf070f7be03a1a3f,"Subject: Campos, Haroldo de
Title: Novas: selected writings
Attribution: Haroldo de Campos ; edited and with an introduction by Antonio Sergio Bessa and Odile Cisneros ; foreword by Roland Greene
Subjects: Campos, Haroldo de--Translations into English; Campos, Haroldo de--Criticism and interpretation
Provision information: Evanston, Ill: Northwestern University Press, 2007",375,2,2
5add7629afafd1e81153591b7532d1a7,"Contributor: Bolton, Robert, 1572-1631
Title: Twenty considerations against sin
Version of: Instructions for a right comforting afflicted consciences
Attribution: by the eminently pious, greatly learned, and venerable divine Mr. Robert Bolton. ; Extracted from that judicious, close, and practical treatise of his, entituled, Instructions for a right comforting afflicted consciences. ; [Five lines of Scripture texts]
Subjects: Sin
Provision information: Philadelphia: Printed and sold by William Bradford, at the Sign of the Bible, in Second-Street, MDCCLIII. [1753]",568,2,2
bc02527d7e3a8799f23515beca3b8771,"Subject: Joyce, James, 1882-1941
Title: James Joyce: Genie im Patriarchat
Attribution: by Udo Loll
Subjects: Joyce, James, 1882-1941--Family; Joyce, James, 1882-1941--Psychology
Provision information: Stuttgart: Metzler, c1992",226,2,2
